row_id,experiment,section,primitive_kind,primitive_name,logical_operation,shape,chunk_shape,elements_per_invocation,invocations,latency_per_invocation,compute_latency,memory_latency,estimated_latency,fallback_from,notes
62,all_primitives,fd.potential,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
63,all_primitives,fd.potential,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
64,all_primitives,fd.potential,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
65,all_primitives,fd.potential,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
66,all_primitives,fd.potential,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
67,all_primitives,fd.potential,vector,4x_fp32_vector_add,add,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
68,all_primitives,fd.potential,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
69,all_primitives,fd.initial_condition,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
70,all_primitives,fd.initial_condition,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
71,all_primitives,fd.initial_condition,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
72,all_primitives,fd.initial_condition,vector,4x_fp32_vector_exp,exp,"(200,)","(4,)",4,50,1.0,50.0,50.0,50.0,,unary
73,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
74,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
75,all_primitives,fd.first_step,vector,4x_fp32_vector_sub,sub,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
76,all_primitives,fd.first_step,vector,4x_fp32_vector_sub,sub,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
77,all_primitives,fd.first_step,vector,4x_fp32_vector_add,add,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
78,all_primitives,fd.first_step,vector,4x_fp32_vector_add,add,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
79,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
80,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
81,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
82,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
83,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
84,all_primitives,fd.first_step,vector,4x_fp32_vector_multiply,multiply,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
85,all_primitives,fd.first_step,vector,4x_fp32_vector_add,add,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
86,all_primitives,fd.first_step,vector,4x_fp32_vector_add,add,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
87,all_primitives,fd.first_step,vector,4x_fp32_vector_sub,sub,"(198,)","(4,)",4,49,1.0,49.0,73.5,73.5,,elementwise
88,all_primitives,fd.first_step,vector,4x_fp32_vector_sub,sub,"(198,)","(2,)",2,1,1.0,1.0,1.5,1.5,,elementwise; tail loop
89,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_multiply,multiply,"(198,)","(4,)",4,19502,1.0,19502.0,29253.0,29253.0,,elementwise
90,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_multiply,multiply,"(198,)","(2,)",2,398,1.0,398.0,597.0,597.0,,elementwise; tail loop
91,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_sub,sub,"(198,)","(4,)",4,19502,1.0,19502.0,29253.0,29253.0,,elementwise
92,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_sub,sub,"(198,)","(2,)",2,398,1.0,398.0,597.0,597.0,,elementwise; tail loop
93,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_add,add,"(198,)","(4,)",4,19502,1.0,19502.0,29253.0,29253.0,,elementwise
94,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_add,add,"(198,)","(2,)",2,398,1.0,398.0,597.0,597.0,,elementwise; tail loop
95,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_multiply,multiply,"(198,)","(4,)",4,19502,1.0,19502.0,29253.0,29253.0,,elementwise
96,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_multiply,multiply,"(198,)","(2,)",2,398,1.0,398.0,597.0,597.0,,elementwise; tail loop
97,all_primitives,fd.recurrent_update,vector,4x_fp32_vector_multiply,multiply,"(198,)","(4,)",4,19502,1.0,19502.0,29253.0,29253.0,,elementwise
